accepted_name,region_id,region_eco
Aphelandra cuscoensis,BHA,Bosques Húmedos Amazónicos
Aphelandra hapala,BMHM,Bosques Muy Húmedos Montanos
Aphelandra juninensis,MA,Mesoandina
Aphelandra latibracteata,BMHP,Bosques Muy Húmedos Premontanos
Aphelandra latibracteata,BHA,Bosques Húmedos Amazónicos
Aphelandra viscosa,MA,Mesoandina
Aphelandra weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Aphelandra weberbaueri,BMHP,Bosques Muy Húmedos Premontanos
Cephalacanthus maculatus,BMHP,Bosques Muy Húmedos Premontanos
Dicliptera porphyrea,MA,Mesoandina
Dicliptera rauhii,BMHM,Bosques Muy Húmedos Montanos
Justicia manserichensis,BHA,Bosques Húmedos Amazónicos
Justicia elegantissima,BMHM,Bosques Muy Húmedos Montanos
Justicia loretensis,BMHP,Bosques Muy Húmedos Premontanos
Justicia weberbaueri,MA,Mesoandina
Justicia weberbaueri,BS,Bosques Secos
Justicia alpina,MA,Mesoandina
Justicia alpina,BMHM,Bosques Muy Húmedos Montanos
Mendoncia peruviana,BHA,Bosques Húmedos Amazónicos
Mendoncia tarapotana,BMHP,Bosques Muy Húmedos Premontanos
Mendoncia tarapotana,BHA,Bosques Húmedos Amazónicos
Odontophyllum cuscoensis,BHA,Bosques Húmedos Amazónicos
Oplonia hutchisonii,BHA,Bosques Húmedos Amazónicos
Orophochilus stipulaceus,BMHP,Bosques Muy Húmedos Premontanos
Pachystachys killipii,BHA,Bosques Húmedos Amazónicos
Pachystachys incarnata,BHA,Bosques Húmedos Amazónicos
Pachystachys longibracteata,BHA,Bosques Húmedos Amazónicos
Pachystachys puberula,BHA,Bosques Húmedos Amazónicos
Pachystachys schunkei,BMHP,Bosques Muy Húmedos Premontanos
Pachystachys schunkei,BHA,Bosques Húmedos Amazónicos
Pachystachys fosteri,BHA,Bosques Húmedos Amazónicos
Ruellia rauhii,BMHP,Bosques Muy Húmedos Premontanos
Ruellia rauhii,BHA,Bosques Húmedos Amazónicos
Sanchezia tarapotensis,BHA,Bosques Húmedos Amazónicos
Sanchezia villosa,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia wurdackii,BHA,Bosques Húmedos Amazónicos
Sanchezia sanmartinensis,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia sanmartinensis,BHA,Bosques Húmedos Amazónicos
Sanchezia filamentosa,BHA,Bosques Húmedos Amazónicos
Sanchezia capitata,BMHP,Bosques Muy Húmedos Premontanos
Sanchezia capitata,BHA,Bosques Húmedos Amazónicos
Sanchezia bicolor,BHA,Bosques Húmedos Amazónicos
Sanchezia williamsii,BMHM,Bosques Muy Húmedos Montanos
Sanchezia williamsii,BMHP,Bosques Muy Húmedos Premontanos
Streblacanthus amoenus,BHA,Bosques Húmedos Amazónicos
